parish_name,parish_page_title,parish_page_url,overview,services,branch_name,address,phones,email,status,hours,raw_text
Hanover Network,Hanover Parish Library Network,https://www.jls.gov.jm/hanover-parish-library/,"Set against the blue- green Caribbean the Hanover Parish Library in Lucea offers a constant invitation to young and old to access information in its spacious rooms. The building was erected in two stages, the first wing in 1963 and the second in 1965. Built at a total cost of thirty-five thousand dollars ($35,000), it was designed by the firm of Harold Ashwell and Associates who pioneered the design of public library buildings in Jamaica.Notably, the main feature of the Ashwell-designed public library was the level which provided maximum ventilation and light without reducing the wall area available for shelving. The books were also protected from direct sunlight by this positioning of the windows.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending,Lucea,"[email protected], (SAT)",(876) 956-2205 / 3410; (876) 956-2829,,,Monday - Friday | 9:00 am - 6:00 pm | 9:00 am - 4:00 pm,"(876) 956-2205 / 3410
(876) 956-2829
[email protected]
Monday - Friday
9:00 am - 6:00 pm
9:00 am - 4:00 pm
(SAT)"
Hanover Network,Hanover Parish Library Network,https://www.jls.gov.jm/hanover-parish-library/,"Set against the blue- green Caribbean the Hanover Parish Library in Lucea offers a constant invitation to young and old to access information in its spacious rooms. The building was erected in two stages, the first wing in 1963 and the second in 1965. Built at a total cost of thirty-five thousand dollars ($35,000), it was designed by the firm of Harold Ashwell and Associates who pioneered the design of public library buildings in Jamaica.Notably, the main feature of the Ashwell-designed public library was the level which provided maximum ventilation and light without reducing the wall area available for shelving. The books were also protected from direct sunlight by this positioning of the windows.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending,Askenish,"Askenish P.O., Hanover",(876) 315-8433,,,Monday - Friday | 12:00 pm - 5:30 pm,"Askenish P.O.
Hanover
(876) 315-8433
Monday - Friday
12:00 pm - 5:30 pm"
Hanover Network,Hanover Parish Library Network,https://www.jls.gov.jm/hanover-parish-library/,"Set against the blue- green Caribbean the Hanover Parish Library in Lucea offers a constant invitation to young and old to access information in its spacious rooms. The building was erected in two stages, the first wing in 1963 and the second in 1965. Built at a total cost of thirty-five thousand dollars ($35,000), it was designed by the firm of Harold Ashwell and Associates who pioneered the design of public library buildings in Jamaica.Notably, the main feature of the Ashwell-designed public library was the level which provided maximum ventilation and light without reducing the wall area available for shelving. The books were also protected from direct sunlight by this positioning of the windows.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending,Chester Castle,"Chester Castle P.O, Hanover",(876) 694-1673,,,Monday - Friday | 9:30 am - 5:30 pm,"Chester Castle P.O
Hanover
(876) 694-1673
Monday - Friday
9:30 am - 5:30 pm"
Hanover Network,Hanover Parish Library Network,https://www.jls.gov.jm/hanover-parish-library/,"Set against the blue- green Caribbean the Hanover Parish Library in Lucea offers a constant invitation to young and old to access information in its spacious rooms. The building was erected in two stages, the first wing in 1963 and the second in 1965. Built at a total cost of thirty-five thousand dollars ($35,000), it was designed by the firm of Harold Ashwell and Associates who pioneered the design of public library buildings in Jamaica.Notably, the main feature of the Ashwell-designed public library was the level which provided maximum ventilation and light without reducing the wall area available for shelving. The books were also protected from direct sunlight by this positioning of the windows.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending,Hopewell,"Hopewell P.O., Hanover",(876) 956-5182,,,Monday - Friday | 9:30 am - 5:30 pm | 9:30 am - 2:00 pm,"Hopewell P.O.
Hanover
(876) 956-5182
Monday - Friday
9:30 am - 5:30 pm
9:30 am - 2:00 pm
(SAT)"
Hanover Network,Hanover Parish Library Network,https://www.jls.gov.jm/hanover-parish-library/,"Set against the blue- green Caribbean the Hanover Parish Library in Lucea offers a constant invitation to young and old to access information in its spacious rooms. The building was erected in two stages, the first wing in 1963 and the second in 1965. Built at a total cost of thirty-five thousand dollars ($35,000), it was designed by the firm of Harold Ashwell and Associates who pioneered the design of public library buildings in Jamaica.Notably, the main feature of the Ashwell-designed public library was the level which provided maximum ventilation and light without reducing the wall area available for shelving. The books were also protected from direct sunlight by this positioning of the windows.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending,Jericho,"Jericho P.O, Hanover",(876) 543-3983,,Closed on Saturdays,Monday - Friday | 12:30 pm - 5:30 pm | Closed on Saturdays,"Jericho P.O
Hanover
(876) 543-3983
Monday - Friday
12:30 pm - 5:30 pm
Closed on Saturdays"
Hanover Network,Hanover Parish Library Network,https://www.jls.gov.jm/hanover-parish-library/,"Set against the blue- green Caribbean the Hanover Parish Library in Lucea offers a constant invitation to young and old to access information in its spacious rooms. The building was erected in two stages, the first wing in 1963 and the second in 1965. Built at a total cost of thirty-five thousand dollars ($35,000), it was designed by the firm of Harold Ashwell and Associates who pioneered the design of public library buildings in Jamaica.Notably, the main feature of the Ashwell-designed public library was the level which provided maximum ventilation and light without reducing the wall area available for shelving. The books were also protected from direct sunlight by this positioning of the windows.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending,Pondside,"Pondside P.O., Hanover",(876) 330-3742,,Closed on Saturdays,Monday - Friday | 9:30 am - 5:30 pm | Closed on Saturdays,"Pondside P.O.
Hanover
(876) 330-3742
Monday - Friday
9:30 am - 5:30 pm
Closed on Saturdays"
Hanover Network,Hanover Parish Library Network,https://www.jls.gov.jm/hanover-parish-library/,"Set against the blue- green Caribbean the Hanover Parish Library in Lucea offers a constant invitation to young and old to access information in its spacious rooms. The building was erected in two stages, the first wing in 1963 and the second in 1965. Built at a total cost of thirty-five thousand dollars ($35,000), it was designed by the firm of Harold Ashwell and Associates who pioneered the design of public library buildings in Jamaica.Notably, the main feature of the Ashwell-designed public library was the level which provided maximum ventilation and light without reducing the wall area available for shelving. The books were also protected from direct sunlight by this positioning of the windows.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending,Green Island,"Green Island P.O., Hanover",,,,Monday - Friday | 9:30 am - 5:30 pm,"Green Island P.O.
Hanover
Monday - Friday
9:30 am - 5:30 pm"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Parish Library,"2 Tom Redcam Drive, P.O. Box 589, Kingston 5",(876) 926-3310,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 9:00 am - 3:00 pm,"2 Tom Redcam Drive
P.O. Box 589, Kingston 5
(876) 926-3310
[email protected]
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
9:00 am - 3:00 pm"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Harbour View,"2c Riverside Drive, Kingston 2, Higholborn Street, Higholborn Street Community Complex, Higholborn Street, Kingston",(876) 928-7975; (876) 922-6414,,Closed,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday (Alternate) | 11:00 am - 4:00 pm | Saturday | Closed,"2c Riverside Drive
Kingston 2
(876) 928-7975
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday (Alternate)
11:00 am - 4:00 pm
Higholborn Street
Higholborn Street Community Complex
Higholborn Street, Kingston
(876) 922-6414
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
Closed"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Brandon Hill,"Brandon Hill P.O.,St. Andrew, Parks Road, Above Rocks P.O., St. Andrew",(876) 850-3432,,Closed,Monday - Wednesday | 9:00 am - 5:00 pm | Thursday (Alternate) | Friday | 9:00 am - 4:00 pm | Saturday (Alternate) | 10:00 am - 3:00 pm | Monday - Thursday | Saturday | Closed,"Brandon Hill P.O.,St. Andrew
(876) 850-3432
Monday - Wednesday
9:00 am - 5:00 pm
Thursday (Alternate)
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday (Alternate)
10:00 am - 3:00 pm
Parks Road
Above Rocks P.O.
St. Andrew
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
Closed"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Port Royal,1 Broad Street,,,Temporarily Closed,Temporarily Closed,"Temporarily Closed
1 Broad Street"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Port Royal,Kingston 1,(876) 967-8391 / 402-4863,,Temporarily Closed,Temporarily Closed,"Kingston 1
(876) 967-8391 / 402-4863
Temporarily Closed"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Shortwood,"30 Shortwood Road, Kingston 8, St. Andrew",(876) 755-3055,,Temporarily Closed,Temporarily Closed,"30 Shortwood Road
Kingston 8
St. Andrew
(876) 755-3055
Temporarily Closed"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Stony Hill,"Stony Hill Square, Stony Hill P.O., St. Andrew",(876) 756-2885,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 10:00 am - 4:00 pm,"Stony Hill Square
Stony Hill P.O., St. Andrew
(Adjacent to the Stony Hill Health Center)
(876) 756-2885
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
10:00 am - 4:00 pm"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Tivoli,"Tivoli Gardens Community Center, P.O. Box 152",,,,,"Tivoli Gardens Community Center
P.O. Box 152"
Kingston & St. Andrew Network,Kingston & St. Andrew Parish Library Network,https://www.jls.gov.jm/kingston-st-andrew-parish-library/,"The Kingston and St. Andrew Parish Library on Tom Redcam Drive bears the pen name of Thomas Henry, MacDermot, Jamaica’s first poet laureate. The library is centrally located near Cross Roads where the major traffic routes of the city converge. The service to the city began in 1955 when a rented house at Brentford Road was attractively remodelled to accommodate a library and fifteen thousand (15,000) books were provided. The service was so well received that membership had to be closed within the first month of the opening date. Over eighty-nine thousand (89,000) books were loaned in eight (8) months. The library was housed for three (3) years at that location.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Tivoli Gardens,St. Andrew,(876) 948-1269,,Temporarily Closed,Temporarily Closed,"St. Andrew
(876) 948-1269
Temporarily Closed"
Manchester Network,Manchester Parish Library Network,https://www.jls.gov.jm/manchester-parish-library/,"The movement of Free Public Libraries began in 1937 by the late Walter L. Lewis, Presbyterian Minister, who circulated a pamphlet called A Plea for Manchester ‘Free’ library in which he stated: “One of the greatest needs of Jamaica is ‘Free’ libraries.” On July 6, 1937, a public meeting was held at the Roof Garden Theatre in Mandeville and a committee was formed to promote the establishment of the library. In the following year, on August 1, the Manchester Free Library was officially opened by His Excellency, Sir Edward Denham.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Parish Library,"34 Hargreaves Avenue, Mandeville P.O., Manchester",(876) 962-2972 / 2012; (876) 962-6980,,,Monday - Friday | 9:00 am - 6:00 pm | 10:00 am - 4 pm,"34 Hargreaves Avenue
Mandeville P.O.
Manchester
(876) 962-2972 / 2012
(876) 962-6980
[email protected]
Monday - Friday
9:00 am - 6:00 pm
10:00 am - 4 pm
(SAT)"
Manchester Network,Manchester Parish Library Network,https://www.jls.gov.jm/manchester-parish-library/,"The movement of Free Public Libraries began in 1937 by the late Walter L. Lewis, Presbyterian Minister, who circulated a pamphlet called A Plea for Manchester ‘Free’ library in which he stated: “One of the greatest needs of Jamaica is ‘Free’ libraries.” On July 6, 1937, a public meeting was held at the Roof Garden Theatre in Mandeville and a committee was formed to promote the establishment of the library. In the following year, on August 1, the Manchester Free Library was officially opened by His Excellency, Sir Edward Denham.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Bellefield,Manchester,(876) 624-0278,,,,"Bombay P.A.
Manchester
(876) 624-0278"
Manchester Network,Manchester Parish Library Network,https://www.jls.gov.jm/manchester-parish-library/,"The movement of Free Public Libraries began in 1937 by the late Walter L. Lewis, Presbyterian Minister, who circulated a pamphlet called A Plea for Manchester ‘Free’ library in which he stated: “One of the greatest needs of Jamaica is ‘Free’ libraries.” On July 6, 1937, a public meeting was held at the Roof Garden Theatre in Mandeville and a committee was formed to promote the establishment of the library. In the following year, on August 1, the Manchester Free Library was officially opened by His Excellency, Sir Edward Denham.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Mon - Thurs,(Fri),,,,9:00 am - 5:00 pm | 9:00 am - 4:00 pm,"9:00 am - 5:00 pm
9:00 am - 4:00 pm
(Fri)"
Manchester Network,Manchester Parish Library Network,https://www.jls.gov.jm/manchester-parish-library/,"The movement of Free Public Libraries began in 1937 by the late Walter L. Lewis, Presbyterian Minister, who circulated a pamphlet called A Plea for Manchester ‘Free’ library in which he stated: “One of the greatest needs of Jamaica is ‘Free’ libraries.” On July 6, 1937, a public meeting was held at the Roof Garden Theatre in Mandeville and a committee was formed to promote the establishment of the library. In the following year, on August 1, the Manchester Free Library was officially opened by His Excellency, Sir Edward Denham.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Bombay,Manchester,(876)850-4095,,,,"Bombay P.A.
Manchester
(876)850-4095"
Manchester Network,Manchester Parish Library Network,https://www.jls.gov.jm/manchester-parish-library/,"The movement of Free Public Libraries began in 1937 by the late Walter L. Lewis, Presbyterian Minister, who circulated a pamphlet called A Plea for Manchester ‘Free’ library in which he stated: “One of the greatest needs of Jamaica is ‘Free’ libraries.” On July 6, 1937, a public meeting was held at the Roof Garden Theatre in Mandeville and a committee was formed to promote the establishment of the library. In the following year, on August 1, the Manchester Free Library was officially opened by His Excellency, Sir Edward Denham.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending; Rental Space,Mon - Thurs,(Fri),,,,9:00 am - 5:00 pm | 9:00 am - 4:00 pm,"9:00 am - 5:00 pm
9:00 am - 4:00 pm
(Fri)"
